weather_id,date_time,city,season,temperature_c,humidity,rain_mm,wind_speed_kmh,visibility_m,weather_condition
5001.0,2024-01-01 00:00,London,Winter,6.982986237156645,54.0,44.13014011945674,16.421768555484828,4031,
5002.0,01/01/2024 01AM,London,Winter,5.434804160836805,76.0,31.42918847069454,13.199942611061468,322,Fog
5003.0,2024-01-01 02:00,,Winter,11.542604018036137,51.0,11.467967715819881,38.17926693984486,1961,Fog
5004.0,01/01/2024 03AM,,Winter,2.828221330757035,43.0,178.69782037393205,3.582321004740736,3305,Fog
5005.0,01/01/2024 04AM,London,Winter,-4.069149805436476,71.0,9.317650464764043,47.70297761652854,555,Rain
5006.0,01/01/2024 05AM,London,Winter,-3.6777537007696237,33.0,48.237200884326235,72.60749886743463,,Fog
5007.0,2024-01-01T06:00Z,,Winter,-4.710899586896248,48.0,21.017015888867483,75.11351691287341,5939,Fog
5008.0,01/01/2024 07AM,,Winter,11.800847573497453,79.0,7.2516278920433,16.664432624763855,1841,Clear
5009.0,01/01/2024 08AM,London,Winter,-2.2858891285738503,55.0,47.771284603862284,46.90151412122571,50000,
5010.0,2024-01-01 09:00,London,Winter,-1.3474128495678128,94.0,27.201236187190283,69.68611360150257,1968,Rain
5011.0,2024-01-01T10:00Z,,Winter,11.03720038348953,58.0,33.31335494363021,61.42975825171192,949,Clear
5012.0,2024-01-01 11:00,London,Winter,13.4827201646346,94.0,35.94013124164529,47.27275347770395,9312,Fog
5013.0,01/01/2024 12PM,London,Winter,8.679878068314732,46.0,9.90437689041777,46.81212455636817,,Rain
5014.0,2024-01-01T13:00Z,,Winter,11.833175703229273,71.0,33.537100098676945,23.465527164773235,3322,Rain
5015.0,2024-01-01T14:00Z,,Winter,11.854076625665478,46.0,22.672361002549152,28.824331317435544,5296,
5016.0,32/15/2024 99:99,,,23.038977909974122,,44.9362877761928,36.02370500730699,1073,Snow
5017.0,01/01/2024 04PM,London,Winter,10.103358497292591,78.0,19.886400964933674,25.355053428207775,Unknown,Storm
5018.0,01/01/2024 05PM,London,Winter,9.37912378584226,55.0,33.23926827313877,19.288831858981254,7185,Storm
5019.0,01/01/2024 06PM,London,Winter,-3.4650923142600587,70.0,34.939413162506725,46.49342353967385,2715,Clear
5020.0,2024-01-01 19:00,,Winter,-4.462056684394435,87.0,,60.03615746127088,3508,
5021.0,01/01/2024 08PM,London,Winter,10.234658734489084,52.0,5.167971840623298,10.978130947395295,4234,
5022.0,01/01/2024 09PM,,Winter,6.388131631158538,35.0,14.68144866912941,19.33930161784307,2888,Fog
5023.0,01/01/2024 10PM,London,Winter,60.0,68.0,27.480964287499955,14.375630374975152,5542,Storm
5024.0,2024-01-01T23:00Z,,Winter,-2.2987634911308708,62.0,3.88416448266426,17.54567823829487,7733,Rain
,2024-01-02 00:00,,Winter,13.235069345840081,91.0,33.639207679000435,74.92458605821541,7153,Fog
5026.0,2024-01-02 01:00,,Winter,1.1722496804458782,69.0,26.910640215069787,78.69412164599015,50000,Storm
5027.0,02/01/2024 02AM,London,Winter,-0.7453555187122962,36.0,161.2869913246659,10.039121546725438,3249,Clear
5028.0,02/01/2024 03AM,,Winter,8.11487408082929,25.0,17.289282928711568,0.1588948639319554,566,Fog
5029.0,02/01/2024 04AM,,Winter,11.624218054980755,27.0,191.54178848045575,34.49888851705098,9167,
